id,generation,name,type_1,type_2,height,weight,color,shape,rarity,stage,total_stats,hp,atk,def,sp_atk,sp_def,spe,ev_hp,ev_atk,ev_def,ev_sp_atk,ev_sp_def,ev_spe,capture_rate,growth_rate,base_experience,egg_group_1,egg_group_2
49,1,venomoth,bug,poison,1.5,12.5,purple,bug-wings,regular,s2c2,450,70,65,60,90,75,90,0,0,0,1,0,1,75,medium,158,bug,
50,1,diglett,ground,,0.2,0.8,brown,blob,regular,s1c2,265,10,55,25,35,45,95,0,0,0,0,0,1,255,medium,53,ground,
51,1,dugtrio,ground,,0.7,33.3,brown,heads,regular,s2c2,425,35,100,50,50,70,120,0,0,0,0,0,2,50,medium,149,ground,
52,1,meowth,normal,,0.4,4.2,yellow,quadruped,regular,s1c2,290,40,45,35,40,40,90,0,0,0,0,0,1,255,medium,58,ground,
53,1,persian,normal,,1.0,32.0,yellow,quadruped,regular,s2c2,440,65,70,60,65,65,115,0,0,0,0,0,2,90,medium,154,ground,
54,1,psyduck,water,,0.8,19.6,yellow,upright,regular,s1c2,320,50,52,48,65,50,55,0,0,0,1,0,0,190,medium,64,water1,ground
55,1,golduck,water,,1.7,76.6,blue,upright,regular,s2c2,500,80,82,78,95,80,85,0,0,0,2,0,0,75,medium,175,water1,ground
56,1,mankey,fighting,,0.5,28.0,brown,upright,regular,s1c3,305,40,80,35,35,45,70,0,1,0,0,0,0,190,medium,61,ground,
57,1,primeape,fighting,,1.0,32.0,brown,upright,regular,s2c3,455,65,105,60,60,70,95,0,2,0,0,0,0,75,medium,159,ground,
58,1,growlithe,fire,,0.7,19.0,brown,quadruped,regular,s1c2,350,55,70,45,70,50,60,0,1,0,0,0,0,190,slow,70,ground,
59,1,arcanine,fire,,1.9,155.0,brown,quadruped,regular,s2c2,555,90,110,80,100,80,95,0,2,0,0,0,0,75,slow,194,ground,
60,1,poliwag,water,,0.6,12.4,blue,legs,regular,s1c3,300,40,50,40,40,40,90,0,0,0,0,0,1,255,medium-slow,60,water1,
61,1,poliwhirl,water,,1.0,20.0,blue,humanoid,regular,s2c3,385,65,65,65,50,50,90,0,0,0,0,0,2,120,medium-slow,135,water1,
62,1,poliwrath,water,fighting,1.3,54.0,blue,humanoid,regular,s3c3,510,90,95,95,70,90,70,0,0,3,0,0,0,45,medium-slow,230,water1,
63,1,abra,psychic,,0.9,19.5,brown,upright,regular,s1c3,310,25,20,15,105,55,90,0,0,0,1,0,0,200,medium-slow,62,humanshape,
64,1,kadabra,psychic,,1.3,56.5,brown,upright,regular,s2c3,400,40,35,30,120,70,105,0,0,0,2,0,0,100,medium-slow,140,humanshape,
65,1,alakazam,psychic,,1.5,48.0,brown,humanoid,regular,s3c3,500,55,50,45,135,95,120,0,0,0,3,0,0,50,medium-slow,225,humanshape,
66,1,machop,fighting,,0.8,19.5,gray,upright,regular,s1c3,305,70,80,50,35,35,35,0,1,0,0,0,0,180,medium-slow,61,humanshape,
67,1,machoke,fighting,,1.5,70.5,gray,humanoid,regular,s2c3,405,80,100,70,50,60,45,0,2,0,0,0,0,90,medium-slow,142,humanshape,
68,1,machamp,fighting,,1.6,130.0,gray,humanoid,regular,s3c3,505,90,130,80,65,85,55,0,3,0,0,0,0,45,medium-slow,227,humanshape,
69,1,bellsprout,grass,poison,0.7,4.0,green,humanoid,regular,s1c3,300,50,75,35,70,30,40,0,1,0,0,0,0,255,medium-slow,60,plant,
70,1,weepinbell,grass,poison,1.0,6.4,green,blob,regular,s2c3,390,65,90,50,85,45,55,0,2,0,0,0,0,120,medium-slow,137,plant,
71,1,victreebel,grass,poison,1.7,15.5,green,blob,regular,s3c3,490,80,105,65,100,70,70,0,3,0,0,0,0,45,medium-slow,221,plant,
72,1,tentacool,water,poison,0.9,45.5,blue,tentacles,regular,s1c2,335,40,40,35,50,100,70,0,0,0,0,1,0,190,slow,67,water3,
73,1,tentacruel,water,poison,1.6,55.0,blue,tentacles,regular,s2c2,515,80,70,65,80,120,100,0,0,0,0,2,0,60,slow,180,water3,
74,1,geodude,rock,ground,0.4,20.0,brown,arms,regular,s1c3,300,40,80,100,30,30,20,0,0,1,0,0,0,255,medium-slow,60,mineral,
75,1,graveler,rock,ground,1.0,105.0,brown,humanoid,regular,s2c3,390,55,95,115,45,45,35,0,0,2,0,0,0,120,medium-slow,137,mineral,
76,1,golem,rock,ground,1.4,300.0,brown,humanoid,regular,s3c3,495,80,120,130,55,65,45,0,0,3,0,0,0,45,medium-slow,223,mineral,
77,1,ponyta,fire,,1.0,30.0,yellow,quadruped,regular,s1c2,410,50,85,55,65,65,90,0,0,0,0,0,1,190,medium,82,ground,
78,1,rapidash,fire,,1.7,95.0,yellow,quadruped,regular,s2c2,500,65,100,70,80,80,105,0,0,0,0,0,2,60,medium,175,ground,
79,1,slowpoke,water,psychic,1.2,36.0,pink,quadruped,regular,s1c2,315,90,65,65,40,40,15,1,0,0,0,0,0,190,medium,63,monster,water1
80,1,slowbro,water,psychic,1.6,78.5,pink,upright,regular,s2c2,490,95,75,110,100,80,30,0,0,2,0,0,0,75,medium,172,monster,water1
81,1,magnemite,electric,steel,0.3,6.0,gray,arms,regular,s1c3,325,25,35,70,95,55,45,0,0,0,1,0,0,190,medium,65,mineral,
82,1,magneton,electric,steel,1.0,60.0,gray,heads,regular,s2c3,465,50,60,95,120,70,70,0,0,0,2,0,0,60,medium,163,mineral,
83,1,farfetchd,normal,flying,0.8,15.0,brown,wings,regular,s1c2,377,52,90,55,58,62,60,0,1,0,0,0,0,45,medium,132,flying,ground
84,1,doduo,normal,flying,1.4,39.2,brown,legs,regular,s1c2,310,35,85,45,35,35,75,0,1,0,0,0,0,190,medium,62,flying,
85,1,dodrio,normal,flying,1.8,85.2,brown,legs,regular,s2c2,470,60,110,70,60,60,110,0,2,0,0,0,0,45,medium,165,flying,
86,1,seel,water,,1.1,90.0,white,fish,regular,s1c2,325,65,45,55,45,70,45,0,0,0,0,1,0,190,medium,65,water1,ground
87,1,dewgong,water,ice,1.7,120.0,white,fish,regular,s2c2,475,90,70,80,70,95,70,0,0,0,0,2,0,75,medium,166,water1,ground
88,1,grimer,poison,,0.9,30.0,purple,arms,regular,s1c2,325,80,80,50,40,50,25,1,0,0,0,0,0,190,medium,65,indeterminate,
89,1,muk,poison,,1.2,30.0,purple,arms,regular,s2c2,500,105,105,75,65,100,50,1,1,0,0,0,0,75,medium,175,indeterminate,
90,1,shellder,water,,0.3,4.0,purple,ball,regular,s1c2,305,30,65,100,45,25,40,0,0,1,0,0,0,190,slow,61,water3,
91,1,cloyster,water,ice,1.5,132.5,purple,ball,regular,s2c2,525,50,95,180,85,45,70,0,0,2,0,0,0,60,slow,184,water3,
92,1,gastly,ghost,poison,1.3,0.1,purple,ball,regular,s1c3,310,30,35,30,100,35,80,0,0,0,1,0,0,190,medium-slow,62,indeterminate,
93,1,haunter,ghost,poison,1.6,0.1,purple,arms,regular,s2c3,405,45,50,45,115,55,95,0,0,0,2,0,0,90,medium-slow,142,indeterminate,
94,1,gengar,ghost,poison,1.5,40.5,purple,upright,regular,s3c3,500,60,65,60,130,75,110,0,0,0,3,0,0,45,medium-slow,225,indeterminate,
95,1,onix,rock,ground,8.8,210.0,gray,squiggle,regular,s1c2,385,35,45,160,30,45,70,0,0,1,0,0,0,45,medium,77,mineral,
96,1,drowzee,psychic,,1.0,32.4,yellow,humanoid,regular,s1c2,328,60,48,45,43,90,42,0,0,0,0,1,0,190,medium,66,humanshape,
97,1,hypno,psychic,,1.6,75.6,yellow,humanoid,regular,s2c2,483,85,73,70,73,115,67,0,0,0,0,2,0,75,medium,169,humanshape,
98,1,krabby,water,,0.4,6.5,red,armor,regular,s1c2,325,30,105,90,25,25,50,0,1,0,0,0,0,225,medium,65,water3,
99,1,kingler,water,,1.3,60.0,red,armor,regular,s2c2,475,55,130,115,50,50,75,0,2,0,0,0,0,60,medium,166,water3,
100,1,voltorb,electric,,0.5,10.4,red,ball,regular,s1c2,330,40,30,50,55,55,100,0,0,0,0,0,1,190,medium,66,mineral,
101,1,electrode,electric,,1.2,66.6,red,ball,regular,s2c2,490,60,50,70,80,80,150,0,0,0,0,0,2,60,medium,172,mineral,
102,1,exeggcute,grass,psychic,0.4,2.5,pink,heads,regular,s1c2,325,60,40,80,60,45,40,0,0,1,0,0,0,90,slow,65,plant,
103,1,exeggutor,grass,psychic,2.0,120.0,yellow,legs,regular,s2c2,530,95,95,85,125,75,55,0,0,0,2,0,0,45,slow,186,plant,
104,1,cubone,ground,,0.4,6.5,brown,upright,regular,s1c2,320,50,50,95,40,50,35,0,0,1,0,0,0,190,medium,64,monster,
105,1,marowak,ground,,1.0,45.0,brown,upright,regular,s2c2,425,60,80,110,50,80,45,0,0,2,0,0,0,75,medium,149,monster,
106,1,hitmonlee,fighting,,1.5,49.8,brown,humanoid,regular,s2c2,455,50,120,53,35,110,87,0,2,0,0,0,0,45,medium,159,humanshape,
107,1,hitmonchan,fighting,,1.4,50.2,brown,humanoid,regular,s2c2,455,50,105,79,35,110,76,0,0,0,0,2,0,45,medium,159,humanshape,
108,1,lickitung,normal,,1.2,65.5,pink,upright,regular,s1c2,385,90,55,75,60,75,30,2,0,0,0,0,0,45,medium,77,monster,
109,1,koffing,poison,,0.6,1.0,purple,ball,regular,s1c2,340,40,65,95,60,45,35,0,0,1,0,0,0,190,medium,68,indeterminate,
110,1,weezing,poison,,1.2,9.5,purple,heads,regular,s2c2,490,65,90,120,85,70,60,0,0,2,0,0,0,60,medium,172,indeterminate,
111,1,rhyhorn,ground,rock,1.0,115.0,gray,quadruped,regular,s1c3,345,80,85,95,30,30,25,0,0,1,0,0,0,120,slow,69,monster,ground
112,1,rhydon,ground,rock,1.9,120.0,gray,upright,regular,s2c3,485,105,130,120,45,45,40,0,2,0,0,0,0,60,slow,170,monster,ground
113,1,chansey,normal,,1.1,34.6,pink,upright,regular,s2c3,450,250,5,5,35,105,50,2,0,0,0,0,0,30,fast,395,fairy,
114,1,tangela,grass,,1.0,35.0,blue,legs,regular,s1c2,435,65,55,115,100,40,60,0,0,1,0,0,0,45,medium,87,plant,
115,1,kangaskhan,normal,,2.2,80.0,brown,upright,regular,single,490,105,95,80,40,80,90,2,0,0,0,0,0,45,medium,172,monster,
116,1,horsea,water,,0.4,8.0,blue,blob,regular,s1c3,295,30,40,70,70,25,60,0,0,0,1,0,0,225,medium,59,water1,dragon
117,1,seadra,water,,1.2,25.0,blue,blob,regular,s2c3,440,55,65,95,95,45,85,0,0,1,1,0,0,75,medium,154,water1,dragon
118,1,goldeen,water,,0.6,15.0,red,fish,regular,s1c2,320,45,67,60,35,50,63,0,1,0,0,0,0,225,medium,64,water2,
119,1,seaking,water,,1.3,39.0,red,fish,regular,s2c2,450,80,92,65,65,80,68,0,2,0,0,0,0,60,medium,158,water2,
120,1,staryu,water,,0.8,34.5,brown,blob,regular,s1c2,340,30,45,55,70,55,85,0,0,0,0,0,1,225,slow,68,water3,
121,1,starmie,water,psychic,1.1,80.0,purple,blob,regular,s2c2,520,60,75,85,100,85,115,0,0,0,0,0,2,60,slow,182,water3,
122,1,mr_mime,psychic,fairy,1.3,54.5,pink,humanoid,regular,s2c2,460,40,45,65,100,120,90,0,0,0,0,2,0,45,medium,161,humanshape,
123,1,scyther,bug,flying,1.5,56.0,green,bug-wings,regular,s1c2,500,70,110,80,55,80,105,0,1,0,0,0,0,45,medium,100,bug,
124,1,jynx,ice,psychic,1.4,40.6,red,humanoid,regular,s2c2,455,65,50,35,115,95,95,0,0,0,2,0,0,45,medium,159,humanshape,
125,1,electabuzz,electric,,1.1,30.0,yellow,upright,regular,s2c3,490,65,83,57,95,85,105,0,0,0,0,0,2,45,medium,172,humanshape,
126,1,magmar,fire,,1.3,44.5,red,upright,regular,s2c3,495,65,95,57,100,85,93,0,0,0,2,0,0,45,medium,173,humanshape,
127,1,pinsir,bug,,1.5,55.0,brown,humanoid,regular,single,500,65,125,100,55,70,85,0,2,0,0,0,0,45,slow,175,bug,
128,1,tauros,normal,,1.4,88.4,brown,quadruped,regular,single,490,75,100,95,40,70,110,0,1,0,0,0,1,45,slow,172,ground,
129,1,magikarp,water,,0.9,10.0,red,fish,regular,s1c2,200,20,10,55,15,20,80,0,0,0,0,0,1,255,slow,40,water2,dragon
130,1,gyarados,water,flying,6.5,235.0,blue,squiggle,regular,s2c2,540,95,125,79,60,100,81,0,2,0,0,0,0,45,slow,189,water2,dragon
131,1,lapras,water,ice,2.5,220.0,blue,fish,regular,single,535,130,85,80,85,95,60,2,0,0,0,0,0,45,slow,187,monster,water1
132,1,ditto,normal,,0.3,4.0,purple,ball,regular,single,288,48,48,48,48,48,48,1,0,0,0,0,0,35,medium,101,ditto,
133,1,eevee,normal,,0.3,6.5,brown,quadruped,regular,s1c2,325,55,55,50,45,65,55,0,0,0,0,1,0,45,medium,65,ground,
134,1,vaporeon,water,,1.0,29.0,blue,quadruped,regular,s2c2,525,130,65,60,110,95,65,2,0,0,0,0,0,45,medium,184,ground,
135,1,jolteon,electric,,0.8,24.5,yellow,quadruped,regular,s2c2,525,65,65,60,110,95,130,0,0,0,0,0,2,45,medium,184,ground,
136,1,flareon,fire,,0.9,25.0,red,quadruped,regular,s2c2,525,65,130,60,95,110,65,0,2,0,0,0,0,45,medium,184,ground,
137,1,porygon,normal,,0.8,36.5,pink,legs,regular,s1c3,395,65,60,70,85,75,40,0,0,0,1,0,0,45,medium,79,mineral,
138,1,omanyte,rock,water,0.4,7.5,blue,tentacles,regular,s1c2,355,35,40,100,90,55,35,0,0,1,0,0,0,45,medium,71,water1,water3
139,1,omastar,rock,water,1.0,35.0,blue,tentacles,regular,s2c2,495,70,60,125,115,70,55,0,0,2,0,0,0,45,medium,173,water1,water3
140,1,kabuto,rock,water,0.5,11.5,brown,armor,regular,s1c2,355,30,80,90,55,45,55,0,0,1,0,0,0,45,medium,71,water1,water3
141,1,kabutops,rock,water,1.3,40.5,brown,upright,regular,s2c2,495,60,115,105,65,70,80,0,2,0,0,0,0,45,medium,173,water1,water3
142,1,aerodactyl,rock,flying,1.8,59.0,purple,wings,regular,single,515,80,105,65,60,75,130,0,0,0,0,0,2,45,slow,180,flying,
143,1,snorlax,normal,,2.1,460.0,black,humanoid,regular,s2c2,540,160,110,65,65,110,30,2,0,0,0,0,0,25,slow,189,monster,
144,1,articuno,ice,flying,1.7,55.4,blue,wings,legendary,single,580,90,85,100,95,125,85,0,0,0,0,3,0,3,slow,261,no-eggs,
145,1,zapdos,electric,flying,1.6,52.6,yellow,wings,legendary,single,580,90,90,85,125,90,100,0,0,0,3,0,0,3,slow,261,no-eggs,
146,1,moltres,fire,flying,2.0,60.0,yellow,wings,legendary,single,580,90,100,90,125,85,90,0,0,0,3,0,0,3,slow,261,no-eggs,
147,1,dratini,dragon,,1.8,3.3,blue,squiggle,regular,s1c3,300,41,64,45,50,50,50,0,1,0,0,0,0,45,slow,60,water1,dragon
148,1,dragonair,dragon,,4.0,16.5,blue,squiggle,regular,s2c3,420,61,84,65,70,70,70,0,2,0,0,0,0,45,slow,147,water1,dragon
149,1,dragonite,dragon,flying,2.2,210.0,brown,upright,regular,s3c3,600,91,134,95,100,100,80,0,3,0,0,0,0,45,slow,270,water1,dragon
150,1,mewtwo,psychic,,2.0,122.0,purple,upright,legendary,single,680,106,110,90,154,90,130,0,0,0,3,0,0,3,slow,306,no-eggs,
151,1,mew,psychic,,0.4,4.0,pink,upright,legendary,single,600,100,100,100,100,100,100,3,0,0,0,0,0,45,medium-slow,270,no-eggs,
152,2,chikorita,grass,,0.9,6.4,green,quadruped,regular,s1c3,318,45,49,65,49,65,45,0,0,0,0,1,0,45,medium-slow,64,monster,plant
153,2,bayleef,grass,,1.2,15.8,green,quadruped,regular,s2c3,405,60,62,80,63,80,60,0,0,1,0,1,0,45,medium-slow,142,monster,plant
154,2,meganium,grass,,1.8,100.5,green,quadruped,regular,s3c3,525,80,82,100,83,100,80,0,0,1,0,2,0,45,medium-slow,236,monster,plant
155,2,cyndaquil,fire,,0.5,7.9,yellow,humanoid,regular,s1c3,309,39,52,43,60,50,65,0,0,0,0,0,1,45,medium-slow,62,ground,
156,2,quilava,fire,,0.9,19.0,yellow,quadruped,regular,s2c3,405,58,64,58,80,65,80,0,0,0,1,0,1,45,medium-slow,142,ground,
157,2,typhlosion,fire,,1.7,79.5,yellow,quadruped,regular,s3c3,534,78,84,78,109,85,100,0,0,0,3,0,0,45,medium-slow,240,ground,
158,2,totodile,water,,0.6,9.5,blue,upright,regular,s1c3,314,50,65,64,44,48,43,0,1,0,0,0,0,45,medium-slow,63,monster,water1
159,2,croconaw,water,,1.1,25.0,blue,upright,regular,s2c3,405,65,80,80,59,63,58,0,1,1,0,0,0,45,medium-slow,142,monster,water1
160,2,feraligatr,water,,2.3,88.8,blue,upright,regular,s3c3,530,85,105,100,79,83,78,0,2,1,0,0,0,45,medium-slow,239,monster,water1
161,2,sentret,normal,,0.8,6.0,brown,quadruped,regular,s1c2,215,35,46,34,35,45,20,0,1,0,0,0,0,255,medium,43,ground,
162,2,furret,normal,,1.8,32.5,brown,quadruped,regular,s2c2,415,85,76,64,45,55,90,0,0,0,0,0,2,90,medium,145,ground,
163,2,hoothoot,normal,flying,0.7,21.2,brown,wings,regular,s1c2,262,60,30,30,36,56,50,1,0,0,0,0,0,255,medium,52,flying,
164,2,noctowl,normal,flying,1.6,40.8,brown,wings,regular,s2c2,452,100,50,50,86,96,70,2,0,0,0,0,0,90,medium,158,flying,
165,2,ledyba,bug,flying,1.0,10.8,red,wings,regular,s1c2,265,40,20,30,40,80,55,0,0,0,0,1,0,255,fast,53,bug,
166,2,ledian,bug,flying,1.4,35.6,red,wings,regular,s2c2,390,55,35,50,55,110,85,0,0,0,0,2,0,90,fast,137,bug,
167,2,spinarak,bug,poison,0.5,8.5,green,armor,regular,s1c2,250,40,60,40,40,40,30,0,1,0,0,0,0,255,fast,50,bug,
168,2,ariados,bug,poison,1.1,33.5,red,armor,regular,s2c2,400,70,90,70,60,70,40,0,2,0,0,0,0,90,fast,140,bug,
169,2,crobat,poison,flying,1.8,75.0,purple,bug-wings,regular,s3c3,535,85,90,80,70,80,130,0,0,0,0,0,3,90,medium,241,flying,
170,2,chinchou,water,electric,0.5,12.0,blue,fish,regular,s1c2,330,75,38,38,56,56,67,1,0,0,0,0,0,190,slow,66,water2,
171,2,lanturn,water,electric,1.2,22.5,blue,fish,regular,s2c2,460,125,58,58,76,76,67,2,0,0,0,0,0,75,slow,161,water2,
172,2,pichu,electric,,0.3,2.0,yellow,quadruped,regular,s1c3,205,20,40,15,35,35,60,0,0,0,0,0,1,190,medium,41,no-eggs,
173,2,cleffa,fairy,,0.3,3.0,pink,upright,regular,s1c3,218,50,25,28,45,55,15,0,0,0,0,1,0,150,fast,44,no-eggs,
174,2,igglybuff,normal,fairy,0.3,1.0,pink,humanoid,regular,s1c3,210,90,30,15,40,20,15,1,0,0,0,0,0,170,fast,42,no-eggs,
175,2,togepi,fairy,,0.3,1.5,white,humanoid,regular,s1c3,245,35,20,65,40,65,20,0,0,0,0,1,0,190,fast,49,no-eggs,
176,2,togetic,fairy,flying,0.6,3.2,white,humanoid,regular,s2c3,405,55,40,85,80,105,40,0,0,0,0,2,0,75,fast,142,flying,fairy
177,2,natu,psychic,flying,0.2,2.0,green,wings,regular,s1c2,320,40,50,45,70,45,70,0,0,0,1,0,0,190,medium,64,flying,
178,2,xatu,psychic,flying,1.5,15.0,green,wings,regular,s2c2,470,65,75,70,95,70,95,0,0,0,1,0,1,75,medium,165,flying,
179,2,mareep,electric,,0.6,7.8,white,quadruped,regular,s1c3,280,55,40,40,65,45,35,0,0,0,1,0,0,235,medium-slow,56,monster,ground
180,2,flaaffy,electric,,0.8,13.3,pink,upright,regular,s2c3,365,70,55,55,80,60,45,0,0,0,2,0,0,120,medium-slow,128,monster,ground
181,2,ampharos,electric,,1.4,61.5,yellow,upright,regular,s3c3,510,90,75,85,115,90,55,0,0,0,3,0,0,45,medium-slow,230,monster,ground
182,2,bellossom,grass,,0.4,5.8,green,humanoid,regular,s3c3,490,75,80,95,90,100,50,0,0,0,0,3,0,45,medium-slow,221,plant,
