id,name,types,height,weight,hp,atk,def,sp_atk,sp_def,spe,total_stats,ev_hp,ev_atk,ev_def,ev_sp_atk,ev_sp_def,ev_spe,shape,color,capture_rate,gender_rate,growth_rate,generation,egg_groups,is_legendary,is_mythical,is_baby,category,base_experience,sprite,stage
53,persian,normal,1.0,32.0,65,70,60,65,65,115,440,0,0,0,0,0,2,quadruped,yellow,90,4,medium,1,ground,False,False,False,regular,154,0053_persian.png,s2c2
54,psyduck,water,0.8,19.6,50,52,48,65,50,55,320,0,0,0,1,0,0,upright,yellow,190,4,medium,1,water1/ground,False,False,False,regular,64,0054_psyduck.png,s1c2
55,golduck,water,1.7,76.6,80,82,78,95,80,85,500,0,0,0,2,0,0,upright,blue,75,4,medium,1,water1/ground,False,False,False,regular,175,0055_golduck.png,s2c2
56,mankey,fighting,0.5,28.0,40,80,35,35,45,70,305,0,1,0,0,0,0,upright,brown,190,4,medium,1,ground,False,False,False,regular,61,0056_mankey.png,s1c3
57,primeape,fighting,1.0,32.0,65,105,60,60,70,95,455,0,2,0,0,0,0,upright,brown,75,4,medium,1,ground,False,False,False,regular,159,0057_primeape.png,s2c3
58,growlithe,fire,0.7,19.0,55,70,45,70,50,60,350,0,1,0,0,0,0,quadruped,brown,190,2,slow,1,ground,False,False,False,regular,70,0058_growlithe.png,s1c2
59,arcanine,fire,1.9,155.0,90,110,80,100,80,95,555,0,2,0,0,0,0,quadruped,brown,75,2,slow,1,ground,False,False,False,regular,194,0059_arcanine.png,s2c2
60,poliwag,water,0.6,12.4,40,50,40,40,40,90,300,0,0,0,0,0,1,legs,blue,255,4,medium-slow,1,water1,False,False,False,regular,60,0060_poliwag.png,s1c3
61,poliwhirl,water,1.0,20.0,65,65,65,50,50,90,385,0,0,0,0,0,2,humanoid,blue,120,4,medium-slow,1,water1,False,False,False,regular,135,0061_poliwhirl.png,s2c3
62,poliwrath,water/fighting,1.3,54.0,90,95,95,70,90,70,510,0,0,3,0,0,0,humanoid,blue,45,4,medium-slow,1,water1,False,False,False,regular,230,0062_poliwrath.png,s3c3
63,abra,psychic,0.9,19.5,25,20,15,105,55,90,310,0,0,0,1,0,0,upright,brown,200,2,medium-slow,1,humanshape,False,False,False,regular,62,0063_abra.png,s1c3
64,kadabra,psychic,1.3,56.5,40,35,30,120,70,105,400,0,0,0,2,0,0,upright,brown,100,2,medium-slow,1,humanshape,False,False,False,regular,140,0064_kadabra.png,s2c3
65,alakazam,psychic,1.5,48.0,55,50,45,135,95,120,500,0,0,0,3,0,0,humanoid,brown,50,2,medium-slow,1,humanshape,False,False,False,regular,225,0065_alakazam.png,s3c3
66,machop,fighting,0.8,19.5,70,80,50,35,35,35,305,0,1,0,0,0,0,upright,gray,180,2,medium-slow,1,humanshape,False,False,False,regular,61,0066_machop.png,s1c3
67,machoke,fighting,1.5,70.5,80,100,70,50,60,45,405,0,2,0,0,0,0,humanoid,gray,90,2,medium-slow,1,humanshape,False,False,False,regular,142,0067_machoke.png,s2c3
68,machamp,fighting,1.6,130.0,90,130,80,65,85,55,505,0,3,0,0,0,0,humanoid,gray,45,2,medium-slow,1,humanshape,False,False,False,regular,227,0068_machamp.png,s3c3
69,bellsprout,grass/poison,0.7,4.0,50,75,35,70,30,40,300,0,1,0,0,0,0,humanoid,green,255,4,medium-slow,1,plant,False,False,False,regular,60,0069_bellsprout.png,s1c3
70,weepinbell,grass/poison,1.0,6.4,65,90,50,85,45,55,390,0,2,0,0,0,0,blob,green,120,4,medium-slow,1,plant,False,False,False,regular,137,0070_weepinbell.png,s2c3
71,victreebel,grass/poison,1.7,15.5,80,105,65,100,70,70,490,0,3,0,0,0,0,blob,green,45,4,medium-slow,1,plant,False,False,False,regular,221,0071_victreebel.png,s3c3
72,tentacool,water/poison,0.9,45.5,40,40,35,50,100,70,335,0,0,0,0,1,0,tentacles,blue,190,4,slow,1,water3,False,False,False,regular,67,0072_tentacool.png,s1c2
73,tentacruel,water/poison,1.6,55.0,80,70,65,80,120,100,515,0,0,0,0,2,0,tentacles,blue,60,4,slow,1,water3,False,False,False,regular,180,0073_tentacruel.png,s2c2
74,geodude,rock/ground,0.4,20.0,40,80,100,30,30,20,300,0,0,1,0,0,0,arms,brown,255,4,medium-slow,1,mineral,False,False,False,regular,60,0074_geodude.png,s1c3
75,graveler,rock/ground,1.0,105.0,55,95,115,45,45,35,390,0,0,2,0,0,0,humanoid,brown,120,4,medium-slow,1,mineral,False,False,False,regular,137,0075_graveler.png,s2c3
76,golem,rock/ground,1.4,300.0,80,120,130,55,65,45,495,0,0,3,0,0,0,humanoid,brown,45,4,medium-slow,1,mineral,False,False,False,regular,223,0076_golem.png,s3c3
77,ponyta,fire,1.0,30.0,50,85,55,65,65,90,410,0,0,0,0,0,1,quadruped,yellow,190,4,medium,1,ground,False,False,False,regular,82,0077_ponyta.png,s1c2
78,rapidash,fire,1.7,95.0,65,100,70,80,80,105,500,0,0,0,0,0,2,quadruped,yellow,60,4,medium,1,ground,False,False,False,regular,175,0078_rapidash.png,s2c2
79,slowpoke,water/psychic,1.2,36.0,90,65,65,40,40,15,315,1,0,0,0,0,0,quadruped,pink,190,4,medium,1,monster/water1,False,False,False,regular,63,0079_slowpoke.png,s1c2
80,slowbro,water/psychic,1.6,78.5,95,75,110,100,80,30,490,0,0,2,0,0,0,upright,pink,75,4,medium,1,monster/water1,False,False,False,regular,172,0080_slowbro.png,s2c2
81,magnemite,electric/steel,0.3,6.0,25,35,70,95,55,45,325,0,0,0,1,0,0,arms,gray,190,-1,medium,1,mineral,False,False,False,regular,65,0081_magnemite.png,s1c3
82,magneton,electric/steel,1.0,60.0,50,60,95,120,70,70,465,0,0,0,2,0,0,heads,gray,60,-1,medium,1,mineral,False,False,False,regular,163,0082_magneton.png,s2c3
83,farfetchd,normal/flying,0.8,15.0,52,90,55,58,62,60,377,0,1,0,0,0,0,wings,brown,45,4,medium,1,flying/ground,False,False,False,regular,132,0083_farfetchd.png,s1c2
84,doduo,normal/flying,1.4,39.2,35,85,45,35,35,75,310,0,1,0,0,0,0,legs,brown,190,4,medium,1,flying,False,False,False,regular,62,0084_doduo.png,s1c2
85,dodrio,normal/flying,1.8,85.2,60,110,70,60,60,110,470,0,2,0,0,0,0,legs,brown,45,4,medium,1,flying,False,False,False,regular,165,0085_dodrio.png,s2c2
86,seel,water,1.1,90.0,65,45,55,45,70,45,325,0,0,0,0,1,0,fish,white,190,4,medium,1,water1/ground,False,False,False,regular,65,0086_seel.png,s1c2
87,dewgong,water/ice,1.7,120.0,90,70,80,70,95,70,475,0,0,0,0,2,0,fish,white,75,4,medium,1,water1/ground,False,False,False,regular,166,0087_dewgong.png,s2c2
88,grimer,poison,0.9,30.0,80,80,50,40,50,25,325,1,0,0,0,0,0,arms,purple,190,4,medium,1,indeterminate,False,False,False,regular,65,0088_grimer.png,s1c2
89,muk,poison,1.2,30.0,105,105,75,65,100,50,500,1,1,0,0,0,0,arms,purple,75,4,medium,1,indeterminate,False,False,False,regular,175,0089_muk.png,s2c2
90,shellder,water,0.3,4.0,30,65,100,45,25,40,305,0,0,1,0,0,0,ball,purple,190,4,slow,1,water3,False,False,False,regular,61,0090_shellder.png,s1c2
91,cloyster,water/ice,1.5,132.5,50,95,180,85,45,70,525,0,0,2,0,0,0,ball,purple,60,4,slow,1,water3,False,False,False,regular,184,0091_cloyster.png,s2c2
92,gastly,ghost/poison,1.3,0.1,30,35,30,100,35,80,310,0,0,0,1,0,0,ball,purple,190,4,medium-slow,1,indeterminate,False,False,False,regular,62,0092_gastly.png,s1c3
93,haunter,ghost/poison,1.6,0.1,45,50,45,115,55,95,405,0,0,0,2,0,0,arms,purple,90,4,medium-slow,1,indeterminate,False,False,False,regular,142,0093_haunter.png,s2c3
94,gengar,ghost/poison,1.5,40.5,60,65,60,130,75,110,500,0,0,0,3,0,0,upright,purple,45,4,medium-slow,1,indeterminate,False,False,False,regular,225,0094_gengar.png,s3c3
95,onix,rock/ground,8.8,210.0,35,45,160,30,45,70,385,0,0,1,0,0,0,squiggle,gray,45,4,medium,1,mineral,False,False,False,regular,77,0095_onix.png,s1c2
96,drowzee,psychic,1.0,32.4,60,48,45,43,90,42,328,0,0,0,0,1,0,humanoid,yellow,190,4,medium,1,humanshape,False,False,False,regular,66,0096_drowzee.png,s1c2
97,hypno,psychic,1.6,75.6,85,73,70,73,115,67,483,0,0,0,0,2,0,humanoid,yellow,75,4,medium,1,humanshape,False,False,False,regular,169,0097_hypno.png,s2c2
98,krabby,water,0.4,6.5,30,105,90,25,25,50,325,0,1,0,0,0,0,armor,red,225,4,medium,1,water3,False,False,False,regular,65,0098_krabby.png,s1c2
99,kingler,water,1.3,60.0,55,130,115,50,50,75,475,0,2,0,0,0,0,armor,red,60,4,medium,1,water3,False,False,False,regular,166,0099_kingler.png,s2c2
100,voltorb,electric,0.5,10.4,40,30,50,55,55,100,330,0,0,0,0,0,1,ball,red,190,-1,medium,1,mineral,False,False,False,regular,66,0100_voltorb.png,s1c2
101,electrode,electric,1.2,66.6,60,50,70,80,80,150,490,0,0,0,0,0,2,ball,red,60,-1,medium,1,mineral,False,False,False,regular,172,0101_electrode.png,s2c2
102,exeggcute,grass/psychic,0.4,2.5,60,40,80,60,45,40,325,0,0,1,0,0,0,heads,pink,90,4,slow,1,plant,False,False,False,regular,65,0102_exeggcute.png,s1c2
103,exeggutor,grass/psychic,2.0,120.0,95,95,85,125,75,55,530,0,0,0,2,0,0,legs,yellow,45,4,slow,1,plant,False,False,False,regular,186,0103_exeggutor.png,s2c2
104,cubone,ground,0.4,6.5,50,50,95,40,50,35,320,0,0,1,0,0,0,upright,brown,190,4,medium,1,monster,False,False,False,regular,64,0104_cubone.png,s1c2
105,marowak,ground,1.0,45.0,60,80,110,50,80,45,425,0,0,2,0,0,0,upright,brown,75,4,medium,1,monster,False,False,False,regular,149,0105_marowak.png,s2c2
106,hitmonlee,fighting,1.5,49.8,50,120,53,35,110,87,455,0,2,0,0,0,0,humanoid,brown,45,0,medium,1,humanshape,False,False,False,regular,159,0106_hitmonlee.png,s2c2
107,hitmonchan,fighting,1.4,50.2,50,105,79,35,110,76,455,0,0,0,0,2,0,humanoid,brown,45,0,medium,1,humanshape,False,False,False,regular,159,0107_hitmonchan.png,s2c2
108,lickitung,normal,1.2,65.5,90,55,75,60,75,30,385,2,0,0,0,0,0,upright,pink,45,4,medium,1,monster,False,False,False,regular,77,0108_lickitung.png,s1c2
109,koffing,poison,0.6,1.0,40,65,95,60,45,35,340,0,0,1,0,0,0,ball,purple,190,4,medium,1,indeterminate,False,False,False,regular,68,0109_koffing.png,s1c2
110,weezing,poison,1.2,9.5,65,90,120,85,70,60,490,0,0,2,0,0,0,heads,purple,60,4,medium,1,indeterminate,False,False,False,regular,172,0110_weezing.png,s2c2
111,rhyhorn,ground/rock,1.0,115.0,80,85,95,30,30,25,345,0,0,1,0,0,0,quadruped,gray,120,4,slow,1,monster/ground,False,False,False,regular,69,0111_rhyhorn.png,s1c3
112,rhydon,ground/rock,1.9,120.0,105,130,120,45,45,40,485,0,2,0,0,0,0,upright,gray,60,4,slow,1,monster/ground,False,False,False,regular,170,0112_rhydon.png,s2c3
113,chansey,normal,1.1,34.6,250,5,5,35,105,50,450,2,0,0,0,0,0,upright,pink,30,8,fast,1,fairy,False,False,False,regular,395,0113_chansey.png,s2c3
114,tangela,grass,1.0,35.0,65,55,115,100,40,60,435,0,0,1,0,0,0,legs,blue,45,4,medium,1,plant,False,False,False,regular,87,0114_tangela.png,s1c2
115,kangaskhan,normal,2.2,80.0,105,95,80,40,80,90,490,2,0,0,0,0,0,upright,brown,45,8,medium,1,monster,False,False,False,regular,172,0115_kangaskhan.png,single
116,horsea,water,0.4,8.0,30,40,70,70,25,60,295,0,0,0,1,0,0,blob,blue,225,4,medium,1,water1/dragon,False,False,False,regular,59,0116_horsea.png,s1c3
117,seadra,water,1.2,25.0,55,65,95,95,45,85,440,0,0,1,1,0,0,blob,blue,75,4,medium,1,water1/dragon,False,False,False,regular,154,0117_seadra.png,s2c3
118,goldeen,water,0.6,15.0,45,67,60,35,50,63,320,0,1,0,0,0,0,fish,red,225,4,medium,1,water2,False,False,False,regular,64,0118_goldeen.png,s1c2
119,seaking,water,1.3,39.0,80,92,65,65,80,68,450,0,2,0,0,0,0,fish,red,60,4,medium,1,water2,False,False,False,regular,158,0119_seaking.png,s2c2
120,staryu,water,0.8,34.5,30,45,55,70,55,85,340,0,0,0,0,0,1,blob,brown,225,-1,slow,1,water3,False,False,False,regular,68,0120_staryu.png,s1c2
121,starmie,water/psychic,1.1,80.0,60,75,85,100,85,115,520,0,0,0,0,0,2,blob,purple,60,-1,slow,1,water3,False,False,False,regular,182,0121_starmie.png,s2c2
122,mr-mime,psychic/fairy,1.3,54.5,40,45,65,100,120,90,460,0,0,0,0,2,0,humanoid,pink,45,4,medium,1,humanshape,False,False,False,regular,161,0122_mr_mime.png,s2c2
123,scyther,bug/flying,1.5,56.0,70,110,80,55,80,105,500,0,1,0,0,0,0,bug-wings,green,45,4,medium,1,bug,False,False,False,regular,100,0123_scyther.png,s1c2
124,jynx,ice/psychic,1.4,40.6,65,50,35,115,95,95,455,0,0,0,2,0,0,humanoid,red,45,8,medium,1,humanshape,False,False,False,regular,159,0124_jynx.png,s2c2
125,electabuzz,electric,1.1,30.0,65,83,57,95,85,105,490,0,0,0,0,0,2,upright,yellow,45,2,medium,1,humanshape,False,False,False,regular,172,0125_electabuzz.png,s2c3
126,magmar,fire,1.3,44.5,65,95,57,100,85,93,495,0,0,0,2,0,0,upright,red,45,2,medium,1,humanshape,False,False,False,regular,173,0126_magmar.png,s2c3
127,pinsir,bug,1.5,55.0,65,125,100,55,70,85,500,0,2,0,0,0,0,humanoid,brown,45,4,slow,1,bug,False,False,False,regular,175,0127_pinsir.png,single
128,tauros,normal,1.4,88.4,75,100,95,40,70,110,490,0,1,0,0,0,1,quadruped,brown,45,0,slow,1,ground,False,False,False,regular,172,0128_tauros.png,single
129,magikarp,water,0.9,10.0,20,10,55,15,20,80,200,0,0,0,0,0,1,fish,red,255,4,slow,1,water2/dragon,False,False,False,regular,40,0129_magikarp.png,s1c2
130,gyarados,water/flying,6.5,235.0,95,125,79,60,100,81,540,0,2,0,0,0,0,squiggle,blue,45,4,slow,1,water2/dragon,False,False,False,regular,189,0130_gyarados.png,s2c2
131,lapras,water/ice,2.5,220.0,130,85,80,85,95,60,535,2,0,0,0,0,0,fish,blue,45,4,slow,1,monster/water1,False,False,False,regular,187,0131_lapras.png,single
132,ditto,normal,0.3,4.0,48,48,48,48,48,48,288,1,0,0,0,0,0,ball,purple,35,-1,medium,1,ditto,False,False,False,regular,101,0132_ditto.png,single
133,eevee,normal,0.3,6.5,55,55,50,45,65,55,325,0,0,0,0,1,0,quadruped,brown,45,1,medium,1,ground,False,False,False,regular,65,0133_eevee.png,s1c2
134,vaporeon,water,1.0,29.0,130,65,60,110,95,65,525,2,0,0,0,0,0,quadruped,blue,45,1,medium,1,ground,False,False,False,regular,184,0134_vaporeon.png,s2c2
135,jolteon,electric,0.8,24.5,65,65,60,110,95,130,525,0,0,0,0,0,2,quadruped,yellow,45,1,medium,1,ground,False,False,False,regular,184,0135_jolteon.png,s2c2
136,flareon,fire,0.9,25.0,65,130,60,95,110,65,525,0,2,0,0,0,0,quadruped,red,45,1,medium,1,ground,False,False,False,regular,184,0136_flareon.png,s2c2
137,porygon,normal,0.8,36.5,65,60,70,85,75,40,395,0,0,0,1,0,0,legs,pink,45,-1,medium,1,mineral,False,False,False,regular,79,0137_porygon.png,s1c3
138,omanyte,rock/water,0.4,7.5,35,40,100,90,55,35,355,0,0,1,0,0,0,tentacles,blue,45,1,medium,1,water1/water3,False,False,False,regular,71,0138_omanyte.png,s1c2
139,omastar,rock/water,1.0,35.0,70,60,125,115,70,55,495,0,0,2,0,0,0,tentacles,blue,45,1,medium,1,water1/water3,False,False,False,regular,173,0139_omastar.png,s2c2
140,kabuto,rock/water,0.5,11.5,30,80,90,55,45,55,355,0,0,1,0,0,0,armor,brown,45,1,medium,1,water1/water3,False,False,False,regular,71,0140_kabuto.png,s1c2
141,kabutops,rock/water,1.3,40.5,60,115,105,65,70,80,495,0,2,0,0,0,0,upright,brown,45,1,medium,1,water1/water3,False,False,False,regular,173,0141_kabutops.png,s2c2
142,aerodactyl,rock/flying,1.8,59.0,80,105,65,60,75,130,515,0,0,0,0,0,2,wings,purple,45,1,slow,1,flying,False,False,False,regular,180,0142_aerodactyl.png,single
143,snorlax,normal,2.1,460.0,160,110,65,65,110,30,540,2,0,0,0,0,0,humanoid,black,25,1,slow,1,monster,False,False,False,regular,189,0143_snorlax.png,s2c2
144,articuno,ice/flying,1.7,55.4,90,85,100,95,125,85,580,0,0,0,0,3,0,wings,blue,3,-1,slow,1,no-eggs,True,False,False,legendary,261,0144_articuno.png,single
145,zapdos,electric/flying,1.6,52.6,90,90,85,125,90,100,580,0,0,0,3,0,0,wings,yellow,3,-1,slow,1,no-eggs,True,False,False,legendary,261,0145_zapdos.png,single
146,moltres,fire/flying,2.0,60.0,90,100,90,125,85,90,580,0,0,0,3,0,0,wings,yellow,3,-1,slow,1,no-eggs,True,False,False,legendary,261,0146_moltres.png,single
147,dratini,dragon,1.8,3.3,41,64,45,50,50,50,300,0,1,0,0,0,0,squiggle,blue,45,4,slow,1,water1/dragon,False,False,False,regular,60,0147_dratini.png,s1c3
148,dragonair,dragon,4.0,16.5,61,84,65,70,70,70,420,0,2,0,0,0,0,squiggle,blue,45,4,slow,1,water1/dragon,False,False,False,regular,147,0148_dragonair.png,s2c3
149,dragonite,dragon/flying,2.2,210.0,91,134,95,100,100,80,600,0,3,0,0,0,0,upright,brown,45,4,slow,1,water1/dragon,False,False,False,regular,270,0149_dragonite.png,s3c3
