id,name,height,weight,total_stats,hp,atk,def_,sp_atk,sp_def,spe,ev_hp,ev_atk,ev_def,ev_sp_atk,ev_sp_def,ev_spe,shape,color,capture_rate,gender_rate,growth_rate,generation,is_legendary,is_mythical,is_baby,rarity,base_experience,stage,type_1,type_2,egg_group_1,egg_group_2
83,farfetchd,0.8,15.0,377,52,90,55,58,62,60,0,1,0,0,0,0,wings,brown,45,4,medium,1,False,False,False,regular,132,s1c2,normal,flying,flying,ground
84,doduo,1.4,39.2,310,35,85,45,35,35,75,0,1,0,0,0,0,legs,brown,190,4,medium,1,False,False,False,regular,62,s1c2,normal,flying,flying,
85,dodrio,1.8,85.2,470,60,110,70,60,60,110,0,2,0,0,0,0,legs,brown,45,4,medium,1,False,False,False,regular,165,s2c2,normal,flying,flying,
86,seel,1.1,90.0,325,65,45,55,45,70,45,0,0,0,0,1,0,fish,white,190,4,medium,1,False,False,False,regular,65,s1c2,water,,water1,ground
87,dewgong,1.7,120.0,475,90,70,80,70,95,70,0,0,0,0,2,0,fish,white,75,4,medium,1,False,False,False,regular,166,s2c2,water,ice,water1,ground
88,grimer,0.9,30.0,325,80,80,50,40,50,25,1,0,0,0,0,0,arms,purple,190,4,medium,1,False,False,False,regular,65,s1c2,poison,,indeterminate,
89,muk,1.2,30.0,500,105,105,75,65,100,50,1,1,0,0,0,0,arms,purple,75,4,medium,1,False,False,False,regular,175,s2c2,poison,,indeterminate,
90,shellder,0.3,4.0,305,30,65,100,45,25,40,0,0,1,0,0,0,ball,purple,190,4,slow,1,False,False,False,regular,61,s1c2,water,,water3,
91,cloyster,1.5,132.5,525,50,95,180,85,45,70,0,0,2,0,0,0,ball,purple,60,4,slow,1,False,False,False,regular,184,s2c2,water,ice,water3,
92,gastly,1.3,0.1,310,30,35,30,100,35,80,0,0,0,1,0,0,ball,purple,190,4,medium-slow,1,False,False,False,regular,62,s1c3,ghost,poison,indeterminate,
93,haunter,1.6,0.1,405,45,50,45,115,55,95,0,0,0,2,0,0,arms,purple,90,4,medium-slow,1,False,False,False,regular,142,s2c3,ghost,poison,indeterminate,
94,gengar,1.5,40.5,500,60,65,60,130,75,110,0,0,0,3,0,0,upright,purple,45,4,medium-slow,1,False,False,False,regular,225,s3c3,ghost,poison,indeterminate,
95,onix,8.8,210.0,385,35,45,160,30,45,70,0,0,1,0,0,0,squiggle,gray,45,4,medium,1,False,False,False,regular,77,s1c2,rock,ground,mineral,
96,drowzee,1.0,32.4,328,60,48,45,43,90,42,0,0,0,0,1,0,humanoid,yellow,190,4,medium,1,False,False,False,regular,66,s1c2,psychic,,humanshape,
97,hypno,1.6,75.6,483,85,73,70,73,115,67,0,0,0,0,2,0,humanoid,yellow,75,4,medium,1,False,False,False,regular,169,s2c2,psychic,,humanshape,
98,krabby,0.4,6.5,325,30,105,90,25,25,50,0,1,0,0,0,0,armor,red,225,4,medium,1,False,False,False,regular,65,s1c2,water,,water3,
99,kingler,1.3,60.0,475,55,130,115,50,50,75,0,2,0,0,0,0,armor,red,60,4,medium,1,False,False,False,regular,166,s2c2,water,,water3,
100,voltorb,0.5,10.4,330,40,30,50,55,55,100,0,0,0,0,0,1,ball,red,190,-1,medium,1,False,False,False,regular,66,s1c2,electric,,mineral,
101,electrode,1.2,66.6,490,60,50,70,80,80,150,0,0,0,0,0,2,ball,red,60,-1,medium,1,False,False,False,regular,172,s2c2,electric,,mineral,
102,exeggcute,0.4,2.5,325,60,40,80,60,45,40,0,0,1,0,0,0,heads,pink,90,4,slow,1,False,False,False,regular,65,s1c2,grass,psychic,plant,
103,exeggutor,2.0,120.0,530,95,95,85,125,75,55,0,0,0,2,0,0,legs,yellow,45,4,slow,1,False,False,False,regular,186,s2c2,grass,psychic,plant,
104,cubone,0.4,6.5,320,50,50,95,40,50,35,0,0,1,0,0,0,upright,brown,190,4,medium,1,False,False,False,regular,64,s1c2,ground,,monster,
105,marowak,1.0,45.0,425,60,80,110,50,80,45,0,0,2,0,0,0,upright,brown,75,4,medium,1,False,False,False,regular,149,s2c2,ground,,monster,
106,hitmonlee,1.5,49.8,455,50,120,53,35,110,87,0,2,0,0,0,0,humanoid,brown,45,0,medium,1,False,False,False,regular,159,s2c2,fighting,,humanshape,
107,hitmonchan,1.4,50.2,455,50,105,79,35,110,76,0,0,0,0,2,0,humanoid,brown,45,0,medium,1,False,False,False,regular,159,s2c2,fighting,,humanshape,
108,lickitung,1.2,65.5,385,90,55,75,60,75,30,2,0,0,0,0,0,upright,pink,45,4,medium,1,False,False,False,regular,77,s1c2,normal,,monster,
109,koffing,0.6,1.0,340,40,65,95,60,45,35,0,0,1,0,0,0,ball,purple,190,4,medium,1,False,False,False,regular,68,s1c2,poison,,indeterminate,
110,weezing,1.2,9.5,490,65,90,120,85,70,60,0,0,2,0,0,0,heads,purple,60,4,medium,1,False,False,False,regular,172,s2c2,poison,,indeterminate,
111,rhyhorn,1.0,115.0,345,80,85,95,30,30,25,0,0,1,0,0,0,quadruped,gray,120,4,slow,1,False,False,False,regular,69,s1c3,ground,rock,monster,ground
112,rhydon,1.9,120.0,485,105,130,120,45,45,40,0,2,0,0,0,0,upright,gray,60,4,slow,1,False,False,False,regular,170,s2c3,ground,rock,monster,ground
113,chansey,1.1,34.6,450,250,5,5,35,105,50,2,0,0,0,0,0,upright,pink,30,8,fast,1,False,False,False,regular,395,s2c3,normal,,fairy,
114,tangela,1.0,35.0,435,65,55,115,100,40,60,0,0,1,0,0,0,legs,blue,45,4,medium,1,False,False,False,regular,87,s1c2,grass,,plant,
115,kangaskhan,2.2,80.0,490,105,95,80,40,80,90,2,0,0,0,0,0,upright,brown,45,8,medium,1,False,False,False,regular,172,single,normal,,monster,
116,horsea,0.4,8.0,295,30,40,70,70,25,60,0,0,0,1,0,0,blob,blue,225,4,medium,1,False,False,False,regular,59,s1c3,water,,water1,dragon
117,seadra,1.2,25.0,440,55,65,95,95,45,85,0,0,1,1,0,0,blob,blue,75,4,medium,1,False,False,False,regular,154,s2c3,water,,water1,dragon
118,goldeen,0.6,15.0,320,45,67,60,35,50,63,0,1,0,0,0,0,fish,red,225,4,medium,1,False,False,False,regular,64,s1c2,water,,water2,
119,seaking,1.3,39.0,450,80,92,65,65,80,68,0,2,0,0,0,0,fish,red,60,4,medium,1,False,False,False,regular,158,s2c2,water,,water2,
120,staryu,0.8,34.5,340,30,45,55,70,55,85,0,0,0,0,0,1,blob,brown,225,-1,slow,1,False,False,False,regular,68,s1c2,water,,water3,
121,starmie,1.1,80.0,520,60,75,85,100,85,115,0,0,0,0,0,2,blob,purple,60,-1,slow,1,False,False,False,regular,182,s2c2,water,psychic,water3,
122,mr_mime,1.3,54.5,460,40,45,65,100,120,90,0,0,0,0,2,0,humanoid,pink,45,4,medium,1,False,False,False,regular,161,single,psychic,fairy,humanshape,
123,scyther,1.5,56.0,500,70,110,80,55,80,105,0,1,0,0,0,0,bug-wings,green,45,4,medium,1,False,False,False,regular,100,s1c2,bug,flying,bug,
124,jynx,1.4,40.6,455,65,50,35,115,95,95,0,0,0,2,0,0,humanoid,red,45,8,medium,1,False,False,False,regular,159,s2c2,ice,psychic,humanshape,
125,electabuzz,1.1,30.0,490,65,83,57,95,85,105,0,0,0,0,0,2,upright,yellow,45,2,medium,1,False,False,False,regular,172,s2c3,electric,,humanshape,
126,magmar,1.3,44.5,495,65,95,57,100,85,93,0,0,0,2,0,0,upright,red,45,2,medium,1,False,False,False,regular,173,s2c3,fire,,humanshape,
127,pinsir,1.5,55.0,500,65,125,100,55,70,85,0,2,0,0,0,0,humanoid,brown,45,4,slow,1,False,False,False,regular,175,single,bug,,bug,
128,tauros,1.4,88.4,490,75,100,95,40,70,110,0,1,0,0,0,1,quadruped,brown,45,0,slow,1,False,False,False,regular,172,single,normal,,ground,
129,magikarp,0.9,10.0,200,20,10,55,15,20,80,0,0,0,0,0,1,fish,red,255,4,slow,1,False,False,False,regular,40,s1c2,water,,water2,dragon
130,gyarados,6.5,235.0,540,95,125,79,60,100,81,0,2,0,0,0,0,squiggle,blue,45,4,slow,1,False,False,False,regular,189,s2c2,water,flying,water2,dragon
131,lapras,2.5,220.0,535,130,85,80,85,95,60,2,0,0,0,0,0,fish,blue,45,4,slow,1,False,False,False,regular,187,single,water,ice,monster,water1
132,ditto,0.3,4.0,288,48,48,48,48,48,48,1,0,0,0,0,0,ball,purple,35,-1,medium,1,False,False,False,regular,101,single,normal,,ditto,
133,eevee,0.3,6.5,325,55,55,50,45,65,55,0,0,0,0,1,0,quadruped,brown,45,1,medium,1,False,False,False,regular,65,s1c2,normal,,ground,
134,vaporeon,1.0,29.0,525,130,65,60,110,95,65,2,0,0,0,0,0,quadruped,blue,45,1,medium,1,False,False,False,regular,184,s2c2,water,,ground,
135,jolteon,0.8,24.5,525,65,65,60,110,95,130,0,0,0,0,0,2,quadruped,yellow,45,1,medium,1,False,False,False,regular,184,s2c2,electric,,ground,
136,flareon,0.9,25.0,525,65,130,60,95,110,65,0,2,0,0,0,0,quadruped,red,45,1,medium,1,False,False,False,regular,184,s2c2,fire,,ground,
137,porygon,0.8,36.5,395,65,60,70,85,75,40,0,0,0,1,0,0,legs,pink,45,-1,medium,1,False,False,False,regular,79,s1c3,normal,,mineral,
138,omanyte,0.4,7.5,355,35,40,100,90,55,35,0,0,1,0,0,0,tentacles,blue,45,1,medium,1,False,False,False,regular,71,s1c2,rock,water,water1,water3
139,omastar,1.0,35.0,495,70,60,125,115,70,55,0,0,2,0,0,0,tentacles,blue,45,1,medium,1,False,False,False,regular,173,s2c2,rock,water,water1,water3
140,kabuto,0.5,11.5,355,30,80,90,55,45,55,0,0,1,0,0,0,armor,brown,45,1,medium,1,False,False,False,regular,71,s1c2,rock,water,water1,water3
141,kabutops,1.3,40.5,495,60,115,105,65,70,80,0,2,0,0,0,0,upright,brown,45,1,medium,1,False,False,False,regular,173,s2c2,rock,water,water1,water3
142,aerodactyl,1.8,59.0,515,80,105,65,60,75,130,0,0,0,0,0,2,wings,purple,45,1,slow,1,False,False,False,regular,180,single,rock,flying,flying,
143,snorlax,2.1,460.0,540,160,110,65,65,110,30,2,0,0,0,0,0,humanoid,black,25,1,slow,1,False,False,False,regular,189,s2c2,normal,,monster,
144,articuno,1.7,55.4,580,90,85,100,95,125,85,0,0,0,0,3,0,wings,blue,3,-1,slow,1,True,False,False,legendary,261,single,ice,flying,no-eggs,
145,zapdos,1.6,52.6,580,90,90,85,125,90,100,0,0,0,3,0,0,wings,yellow,3,-1,slow,1,True,False,False,legendary,261,single,electric,flying,no-eggs,
146,moltres,2.0,60.0,580,90,100,90,125,85,90,0,0,0,3,0,0,wings,yellow,3,-1,slow,1,True,False,False,legendary,261,single,fire,flying,no-eggs,
147,dratini,1.8,3.3,300,41,64,45,50,50,50,0,1,0,0,0,0,squiggle,blue,45,4,slow,1,False,False,False,regular,60,s1c3,dragon,,water1,dragon
148,dragonair,4.0,16.5,420,61,84,65,70,70,70,0,2,0,0,0,0,squiggle,blue,45,4,slow,1,False,False,False,regular,147,s2c3,dragon,,water1,dragon
149,dragonite,2.2,210.0,600,91,134,95,100,100,80,0,3,0,0,0,0,upright,brown,45,4,slow,1,False,False,False,regular,270,s3c3,dragon,flying,water1,dragon
150,mewtwo,2.0,122.0,680,106,110,90,154,90,130,0,0,0,3,0,0,upright,purple,3,-1,slow,1,True,False,False,legendary,306,single,psychic,,no-eggs,
151,mew,0.4,4.0,600,100,100,100,100,100,100,3,0,0,0,0,0,upright,pink,45,-1,medium-slow,1,False,True,False,legendary,270,single,psychic,,no-eggs,
152,chikorita,0.9,6.4,318,45,49,65,49,65,45,0,0,0,0,1,0,quadruped,green,45,1,medium-slow,2,False,False,False,regular,64,s1c3,grass,,monster,plant
153,bayleef,1.2,15.8,405,60,62,80,63,80,60,0,0,1,0,1,0,quadruped,green,45,1,medium-slow,2,False,False,False,regular,142,s2c3,grass,,monster,plant
154,meganium,1.8,100.5,525,80,82,100,83,100,80,0,0,1,0,2,0,quadruped,green,45,1,medium-slow,2,False,False,False,regular,236,s3c3,grass,,monster,plant
155,cyndaquil,0.5,7.9,309,39,52,43,60,50,65,0,0,0,0,0,1,humanoid,yellow,45,1,medium-slow,2,False,False,False,regular,62,s1c3,fire,,ground,
156,quilava,0.9,19.0,405,58,64,58,80,65,80,0,0,0,1,0,1,quadruped,yellow,45,1,medium-slow,2,False,False,False,regular,142,s2c3,fire,,ground,
157,typhlosion,1.7,79.5,534,78,84,78,109,85,100,0,0,0,3,0,0,quadruped,yellow,45,1,medium-slow,2,False,False,False,regular,240,s3c3,fire,,ground,
158,totodile,0.6,9.5,314,50,65,64,44,48,43,0,1,0,0,0,0,upright,blue,45,1,medium-slow,2,False,False,False,regular,63,s1c3,water,,monster,water1
159,croconaw,1.1,25.0,405,65,80,80,59,63,58,0,1,1,0,0,0,upright,blue,45,1,medium-slow,2,False,False,False,regular,142,s2c3,water,,monster,water1
160,feraligatr,2.3,88.8,530,85,105,100,79,83,78,0,2,1,0,0,0,upright,blue,45,1,medium-slow,2,False,False,False,regular,239,s3c3,water,,monster,water1
161,sentret,0.8,6.0,215,35,46,34,35,45,20,0,1,0,0,0,0,quadruped,brown,255,4,medium,2,False,False,False,regular,43,s1c2,normal,,ground,
162,furret,1.8,32.5,415,85,76,64,45,55,90,0,0,0,0,0,2,quadruped,brown,90,4,medium,2,False,False,False,regular,145,s2c2,normal,,ground,
163,hoothoot,0.7,21.2,262,60,30,30,36,56,50,1,0,0,0,0,0,wings,brown,255,4,medium,2,False,False,False,regular,52,s1c2,normal,flying,flying,
164,noctowl,1.6,40.8,452,100,50,50,86,96,70,2,0,0,0,0,0,wings,brown,90,4,medium,2,False,False,False,regular,158,s2c2,normal,flying,flying,
