id,name,types,height,weight,total_stats,hp,atk,def_,sp_atk,sp_def,spe,ev_hp,ev_atk,ev_def,ev_sp_atk,ev_sp_def,ev_spe,shape,color,capture_rate,gender_rate,growth_rate,generation,egg_groups,is_legendary,is_mythical,is_baby,category,base_experience,stage
15,beedrill,bug | poison,1.0,29.5,395,65,90,40,45,80,75,0,2,0,0,1,0,bug-wings,yellow,45,4,medium,1,bug,False,False,False,regular,178,s3c3
16,pidgey,normal | flying,0.3,1.8,251,40,45,40,35,35,56,0,0,0,0,0,1,wings,brown,255,4,medium-slow,1,flying,False,False,False,regular,50,s1c3
17,pidgeotto,normal | flying,1.1,30.0,349,63,60,55,50,50,71,0,0,0,0,0,2,wings,brown,120,4,medium-slow,1,flying,False,False,False,regular,122,s2c3
18,pidgeot,normal | flying,1.5,39.5,479,83,80,75,70,70,101,0,0,0,0,0,3,wings,brown,45,4,medium-slow,1,flying,False,False,False,regular,216,s3c3
19,rattata,normal,0.3,3.5,253,30,56,35,25,35,72,0,0,0,0,0,1,quadruped,purple,255,4,medium,1,ground,False,False,False,regular,51,s1c2
20,raticate,normal,0.7,18.5,413,55,81,60,50,70,97,0,0,0,0,0,2,quadruped,brown,127,4,medium,1,ground,False,False,False,regular,145,s2c2
21,spearow,normal | flying,0.3,2.0,262,40,60,30,31,31,70,0,0,0,0,0,1,wings,brown,255,4,medium,1,flying,False,False,False,regular,52,s1c2
22,fearow,normal | flying,1.2,38.0,442,65,90,65,61,61,100,0,0,0,0,0,2,wings,brown,90,4,medium,1,flying,False,False,False,regular,155,s2c2
23,ekans,poison,2.0,6.9,288,35,60,44,40,54,55,0,1,0,0,0,0,squiggle,purple,255,4,medium,1,ground | dragon,False,False,False,regular,58,s1c2
24,arbok,poison,3.5,65.0,448,60,95,69,65,79,80,0,2,0,0,0,0,squiggle,purple,90,4,medium,1,ground | dragon,False,False,False,regular,157,s2c2
25,pikachu,electric,0.4,6.0,320,35,55,40,50,50,90,0,0,0,0,0,2,quadruped,yellow,190,4,medium,1,ground | fairy,False,False,False,regular,112,s2c3
26,raichu,electric,0.8,30.0,485,60,90,55,90,80,110,0,0,0,0,0,3,upright,yellow,75,4,medium,1,ground | fairy,False,False,False,regular,218,s3c3
27,sandshrew,ground,0.6,12.0,300,50,75,85,20,30,40,0,0,1,0,0,0,upright,yellow,255,4,medium,1,ground,False,False,False,regular,60,s1c2
28,sandslash,ground,1.0,29.5,450,75,100,110,45,55,65,0,0,2,0,0,0,upright,yellow,90,4,medium,1,ground,False,False,False,regular,158,s2c2
29,nidoran-f,poison,0.4,7.0,275,55,47,52,40,40,41,1,0,0,0,0,0,quadruped,blue,235,8,medium-slow,1,monster | ground,False,False,False,regular,55,single
30,nidorina,poison,0.8,20.0,365,70,62,67,55,55,56,2,0,0,0,0,0,quadruped,blue,120,8,medium-slow,1,no-eggs,False,False,False,regular,128,s2c3
31,nidoqueen,poison | ground,1.3,60.0,505,90,92,87,75,85,76,3,0,0,0,0,0,upright,blue,45,8,medium-slow,1,no-eggs,False,False,False,regular,227,s3c3
32,nidoran-m,poison,0.5,9.0,273,46,57,40,40,40,50,0,1,0,0,0,0,quadruped,purple,235,0,medium-slow,1,monster | ground,False,False,False,regular,55,single
33,nidorino,poison,0.9,19.5,365,61,72,57,55,55,65,0,2,0,0,0,0,quadruped,purple,120,0,medium-slow,1,monster | ground,False,False,False,regular,128,s2c3
34,nidoking,poison | ground,1.4,62.0,505,81,102,77,85,75,85,0,3,0,0,0,0,upright,purple,45,0,medium-slow,1,monster | ground,False,False,False,regular,227,s3c3
35,clefairy,fairy,0.6,7.5,323,70,45,48,60,65,35,2,0,0,0,0,0,upright,pink,150,6,fast,1,fairy,False,False,False,regular,113,s2c3
36,clefable,fairy,1.3,40.0,483,95,70,73,95,90,60,3,0,0,0,0,0,upright,pink,25,6,fast,1,fairy,False,False,False,regular,217,s3c3
37,vulpix,fire,0.6,9.9,299,38,41,40,50,65,65,0,0,0,0,0,1,quadruped,brown,190,6,medium,1,ground,False,False,False,regular,60,s1c2
38,ninetales,fire,1.1,19.9,505,73,76,75,81,100,100,0,0,0,0,1,1,quadruped,yellow,75,6,medium,1,ground,False,False,False,regular,177,s2c2
39,jigglypuff,normal | fairy,0.5,5.5,270,115,45,20,45,25,20,2,0,0,0,0,0,humanoid,pink,170,6,fast,1,fairy,False,False,False,regular,95,s2c3
40,wigglytuff,normal | fairy,1.0,12.0,435,140,70,45,85,50,45,3,0,0,0,0,0,humanoid,pink,50,6,fast,1,fairy,False,False,False,regular,196,s3c3
41,zubat,poison | flying,0.8,7.5,245,40,45,35,30,40,55,0,0,0,0,0,1,wings,purple,255,4,medium,1,flying,False,False,False,regular,49,s1c3
42,golbat,poison | flying,1.6,55.0,455,75,80,70,65,75,90,0,0,0,0,0,2,wings,purple,90,4,medium,1,flying,False,False,False,regular,159,s2c3
43,oddish,grass | poison,0.5,5.4,320,45,50,55,75,65,30,0,0,0,1,0,0,legs,blue,255,4,medium-slow,1,plant,False,False,False,regular,64,s1c3
44,gloom,grass | poison,0.8,8.6,395,60,65,70,85,75,40,0,0,0,2,0,0,humanoid,blue,120,4,medium-slow,1,plant,False,False,False,regular,138,s2c3
45,vileplume,grass | poison,1.2,18.6,490,75,80,85,110,90,50,0,0,0,3,0,0,humanoid,red,45,4,medium-slow,1,plant,False,False,False,regular,221,s3c3
46,paras,bug | grass,0.3,5.4,285,35,70,55,45,55,25,0,1,0,0,0,0,armor,red,190,4,medium,1,bug | plant,False,False,False,regular,57,s1c2
47,parasect,bug | grass,1.0,29.5,405,60,95,80,60,80,30,0,2,1,0,0,0,armor,red,75,4,medium,1,bug | plant,False,False,False,regular,142,s2c2
48,venonat,bug | poison,1.0,30.0,305,60,55,50,40,55,45,0,0,0,0,1,0,humanoid,purple,190,4,medium,1,bug,False,False,False,regular,61,s1c2
49,venomoth,bug | poison,1.5,12.5,450,70,65,60,90,75,90,0,0,0,1,0,1,bug-wings,purple,75,4,medium,1,bug,False,False,False,regular,158,s2c2
50,diglett,ground,0.2,0.8,265,10,55,25,35,45,95,0,0,0,0,0,1,blob,brown,255,4,medium,1,ground,False,False,False,regular,53,s1c2
51,dugtrio,ground,0.7,33.3,425,35,100,50,50,70,120,0,0,0,0,0,2,heads,brown,50,4,medium,1,ground,False,False,False,regular,149,s2c2
52,meowth,normal,0.4,4.2,290,40,45,35,40,40,90,0,0,0,0,0,1,quadruped,yellow,255,4,medium,1,ground,False,False,False,regular,58,s1c2
53,persian,normal,1.0,32.0,440,65,70,60,65,65,115,0,0,0,0,0,2,quadruped,yellow,90,4,medium,1,ground,False,False,False,regular,154,s2c2
54,psyduck,water,0.8,19.6,320,50,52,48,65,50,55,0,0,0,1,0,0,upright,yellow,190,4,medium,1,water1 | ground,False,False,False,regular,64,s1c2
55,golduck,water,1.7,76.6,500,80,82,78,95,80,85,0,0,0,2,0,0,upright,blue,75,4,medium,1,water1 | ground,False,False,False,regular,175,s2c2
56,mankey,fighting,0.5,28.0,305,40,80,35,35,45,70,0,1,0,0,0,0,upright,brown,190,4,medium,1,ground,False,False,False,regular,61,s1c3
57,primeape,fighting,1.0,32.0,455,65,105,60,60,70,95,0,2,0,0,0,0,upright,brown,75,4,medium,1,ground,False,False,False,regular,159,s2c3
58,growlithe,fire,0.7,19.0,350,55,70,45,70,50,60,0,1,0,0,0,0,quadruped,brown,190,2,slow,1,ground,False,False,False,regular,70,s1c2
59,arcanine,fire,1.9,155.0,555,90,110,80,100,80,95,0,2,0,0,0,0,quadruped,brown,75,2,slow,1,ground,False,False,False,regular,194,s2c2
60,poliwag,water,0.6,12.4,300,40,50,40,40,40,90,0,0,0,0,0,1,legs,blue,255,4,medium-slow,1,water1,False,False,False,regular,60,s1c3
61,poliwhirl,water,1.0,20.0,385,65,65,65,50,50,90,0,0,0,0,0,2,humanoid,blue,120,4,medium-slow,1,water1,False,False,False,regular,135,s2c3
62,poliwrath,water | fighting,1.3,54.0,510,90,95,95,70,90,70,0,0,3,0,0,0,humanoid,blue,45,4,medium-slow,1,water1,False,False,False,regular,230,s3c3
63,abra,psychic,0.9,19.5,310,25,20,15,105,55,90,0,0,0,1,0,0,upright,brown,200,2,medium-slow,1,humanshape,False,False,False,regular,62,s1c3
64,kadabra,psychic,1.3,56.5,400,40,35,30,120,70,105,0,0,0,2,0,0,upright,brown,100,2,medium-slow,1,humanshape,False,False,False,regular,140,s2c3
65,alakazam,psychic,1.5,48.0,500,55,50,45,135,95,120,0,0,0,3,0,0,humanoid,brown,50,2,medium-slow,1,humanshape,False,False,False,regular,225,s3c3
66,machop,fighting,0.8,19.5,305,70,80,50,35,35,35,0,1,0,0,0,0,upright,gray,180,2,medium-slow,1,humanshape,False,False,False,regular,61,s1c3
67,machoke,fighting,1.5,70.5,405,80,100,70,50,60,45,0,2,0,0,0,0,humanoid,gray,90,2,medium-slow,1,humanshape,False,False,False,regular,142,s2c3
68,machamp,fighting,1.6,130.0,505,90,130,80,65,85,55,0,3,0,0,0,0,humanoid,gray,45,2,medium-slow,1,humanshape,False,False,False,regular,227,s3c3
69,bellsprout,grass | poison,0.7,4.0,300,50,75,35,70,30,40,0,1,0,0,0,0,humanoid,green,255,4,medium-slow,1,plant,False,False,False,regular,60,s1c3
70,weepinbell,grass | poison,1.0,6.4,390,65,90,50,85,45,55,0,2,0,0,0,0,blob,green,120,4,medium-slow,1,plant,False,False,False,regular,137,s2c3
71,victreebel,grass | poison,1.7,15.5,490,80,105,65,100,70,70,0,3,0,0,0,0,blob,green,45,4,medium-slow,1,plant,False,False,False,regular,221,s3c3
72,tentacool,water | poison,0.9,45.5,335,40,40,35,50,100,70,0,0,0,0,1,0,tentacles,blue,190,4,slow,1,water3,False,False,False,regular,67,s1c2
73,tentacruel,water | poison,1.6,55.0,515,80,70,65,80,120,100,0,0,0,0,2,0,tentacles,blue,60,4,slow,1,water3,False,False,False,regular,180,s2c2
74,geodude,rock | ground,0.4,20.0,300,40,80,100,30,30,20,0,0,1,0,0,0,arms,brown,255,4,medium-slow,1,mineral,False,False,False,regular,60,s1c3
75,graveler,rock | ground,1.0,105.0,390,55,95,115,45,45,35,0,0,2,0,0,0,humanoid,brown,120,4,medium-slow,1,mineral,False,False,False,regular,137,s2c3
76,golem,rock | ground,1.4,300.0,495,80,120,130,55,65,45,0,0,3,0,0,0,humanoid,brown,45,4,medium-slow,1,mineral,False,False,False,regular,223,s3c3
77,ponyta,fire,1.0,30.0,410,50,85,55,65,65,90,0,0,0,0,0,1,quadruped,yellow,190,4,medium,1,ground,False,False,False,regular,82,s1c2
78,rapidash,fire,1.7,95.0,500,65,100,70,80,80,105,0,0,0,0,0,2,quadruped,yellow,60,4,medium,1,ground,False,False,False,regular,175,s2c2
79,slowpoke,water | psychic,1.2,36.0,315,90,65,65,40,40,15,1,0,0,0,0,0,quadruped,pink,190,4,medium,1,monster | water1,False,False,False,regular,63,s1c2
80,slowbro,water | psychic,1.6,78.5,490,95,75,110,100,80,30,0,0,2,0,0,0,upright,pink,75,4,medium,1,monster | water1,False,False,False,regular,172,s2c2
81,magnemite,electric | steel,0.3,6.0,325,25,35,70,95,55,45,0,0,0,1,0,0,arms,gray,190,-1,medium,1,mineral,False,False,False,regular,65,s1c3
82,magneton,electric | steel,1.0,60.0,465,50,60,95,120,70,70,0,0,0,2,0,0,heads,gray,60,-1,medium,1,mineral,False,False,False,regular,163,s2c3
83,farfetchd,normal | flying,0.8,15.0,377,52,90,55,58,62,60,0,1,0,0,0,0,wings,brown,45,4,medium,1,flying | ground,False,False,False,regular,132,s1c2
84,doduo,normal | flying,1.4,39.2,310,35,85,45,35,35,75,0,1,0,0,0,0,legs,brown,190,4,medium,1,flying,False,False,False,regular,62,s1c2
85,dodrio,normal | flying,1.8,85.2,470,60,110,70,60,60,110,0,2,0,0,0,0,legs,brown,45,4,medium,1,flying,False,False,False,regular,165,s2c2
86,seel,water,1.1,90.0,325,65,45,55,45,70,45,0,0,0,0,1,0,fish,white,190,4,medium,1,water1 | ground,False,False,False,regular,65,s1c2
87,dewgong,water | ice,1.7,120.0,475,90,70,80,70,95,70,0,0,0,0,2,0,fish,white,75,4,medium,1,water1 | ground,False,False,False,regular,166,s2c2
88,grimer,poison,0.9,30.0,325,80,80,50,40,50,25,1,0,0,0,0,0,arms,purple,190,4,medium,1,indeterminate,False,False,False,regular,65,s1c2
89,muk,poison,1.2,30.0,500,105,105,75,65,100,50,1,1,0,0,0,0,arms,purple,75,4,medium,1,indeterminate,False,False,False,regular,175,s2c2
90,shellder,water,0.3,4.0,305,30,65,100,45,25,40,0,0,1,0,0,0,ball,purple,190,4,slow,1,water3,False,False,False,regular,61,s1c2
91,cloyster,water | ice,1.5,132.5,525,50,95,180,85,45,70,0,0,2,0,0,0,ball,purple,60,4,slow,1,water3,False,False,False,regular,184,s2c2
92,gastly,ghost | poison,1.3,0.1,310,30,35,30,100,35,80,0,0,0,1,0,0,ball,purple,190,4,medium-slow,1,indeterminate,False,False,False,regular,62,s1c3
93,haunter,ghost | poison,1.6,0.1,405,45,50,45,115,55,95,0,0,0,2,0,0,arms,purple,90,4,medium-slow,1,indeterminate,False,False,False,regular,142,s2c3
94,gengar,ghost | poison,1.5,40.5,500,60,65,60,130,75,110,0,0,0,3,0,0,upright,purple,45,4,medium-slow,1,indeterminate,False,False,False,regular,225,s3c3
95,onix,rock | ground,8.8,210.0,385,35,45,160,30,45,70,0,0,1,0,0,0,squiggle,gray,45,4,medium,1,mineral,False,False,False,regular,77,s1c2
96,drowzee,psychic,1.0,32.4,328,60,48,45,43,90,42,0,0,0,0,1,0,humanoid,yellow,190,4,medium,1,humanshape,False,False,False,regular,66,s1c2
97,hypno,psychic,1.6,75.6,483,85,73,70,73,115,67,0,0,0,0,2,0,humanoid,yellow,75,4,medium,1,humanshape,False,False,False,regular,169,s2c2
98,krabby,water,0.4,6.5,325,30,105,90,25,25,50,0,1,0,0,0,0,armor,red,225,4,medium,1,water3,False,False,False,regular,65,s1c2
99,kingler,water,1.3,60.0,475,55,130,115,50,50,75,0,2,0,0,0,0,armor,red,60,4,medium,1,water3,False,False,False,regular,166,s2c2
100,voltorb,electric,0.5,10.4,330,40,30,50,55,55,100,0,0,0,0,0,1,ball,red,190,-1,medium,1,mineral,False,False,False,regular,66,s1c2
101,electrode,electric,1.2,66.6,490,60,50,70,80,80,150,0,0,0,0,0,2,ball,red,60,-1,medium,1,mineral,False,False,False,regular,172,s2c2
102,exeggcute,grass | psychic,0.4,2.5,325,60,40,80,60,45,40,0,0,1,0,0,0,heads,pink,90,4,slow,1,plant,False,False,False,regular,65,s1c2
103,exeggutor,grass | psychic,2.0,120.0,530,95,95,85,125,75,55,0,0,0,2,0,0,legs,yellow,45,4,slow,1,plant,False,False,False,regular,186,s2c2
104,cubone,ground,0.4,6.5,320,50,50,95,40,50,35,0,0,1,0,0,0,upright,brown,190,4,medium,1,monster,False,False,False,regular,64,s1c2
105,marowak,ground,1.0,45.0,425,60,80,110,50,80,45,0,0,2,0,0,0,upright,brown,75,4,medium,1,monster,False,False,False,regular,149,s2c2
106,hitmonlee,fighting,1.5,49.8,455,50,120,53,35,110,87,0,2,0,0,0,0,humanoid,brown,45,0,medium,1,humanshape,False,False,False,regular,159,s2c2
107,hitmonchan,fighting,1.4,50.2,455,50,105,79,35,110,76,0,0,0,0,2,0,humanoid,brown,45,0,medium,1,humanshape,False,False,False,regular,159,s2c2
108,lickitung,normal,1.2,65.5,385,90,55,75,60,75,30,2,0,0,0,0,0,upright,pink,45,4,medium,1,monster,False,False,False,regular,77,s1c2
109,koffing,poison,0.6,1.0,340,40,65,95,60,45,35,0,0,1,0,0,0,ball,purple,190,4,medium,1,indeterminate,False,False,False,regular,68,s1c2
110,weezing,poison,1.2,9.5,490,65,90,120,85,70,60,0,0,2,0,0,0,heads,purple,60,4,medium,1,indeterminate,False,False,False,regular,172,s2c2
111,rhyhorn,ground | rock,1.0,115.0,345,80,85,95,30,30,25,0,0,1,0,0,0,quadruped,gray,120,4,slow,1,monster | ground,False,False,False,regular,69,s1c3
112,rhydon,ground | rock,1.9,120.0,485,105,130,120,45,45,40,0,2,0,0,0,0,upright,gray,60,4,slow,1,monster | ground,False,False,False,regular,170,s2c3
113,chansey,normal,1.1,34.6,450,250,5,5,35,105,50,2,0,0,0,0,0,upright,pink,30,8,fast,1,fairy,False,False,False,regular,395,s2c3
114,tangela,grass,1.0,35.0,435,65,55,115,100,40,60,0,0,1,0,0,0,legs,blue,45,4,medium,1,plant,False,False,False,regular,87,s1c2
115,kangaskhan,normal,2.2,80.0,490,105,95,80,40,80,90,2,0,0,0,0,0,upright,brown,45,8,medium,1,monster,False,False,False,regular,172,single
116,horsea,water,0.4,8.0,295,30,40,70,70,25,60,0,0,0,1,0,0,blob,blue,225,4,medium,1,water1 | dragon,False,False,False,regular,59,s1c3
117,seadra,water,1.2,25.0,440,55,65,95,95,45,85,0,0,1,1,0,0,blob,blue,75,4,medium,1,water1 | dragon,False,False,False,regular,154,s2c3
118,goldeen,water,0.6,15.0,320,45,67,60,35,50,63,0,1,0,0,0,0,fish,red,225,4,medium,1,water2,False,False,False,regular,64,s1c2
119,seaking,water,1.3,39.0,450,80,92,65,65,80,68,0,2,0,0,0,0,fish,red,60,4,medium,1,water2,False,False,False,regular,158,s2c2
120,staryu,water,0.8,34.5,340,30,45,55,70,55,85,0,0,0,0,0,1,blob,brown,225,-1,slow,1,water3,False,False,False,regular,68,s1c2
121,starmie,water | psychic,1.1,80.0,520,60,75,85,100,85,115,0,0,0,0,0,2,blob,purple,60,-1,slow,1,water3,False,False,False,regular,182,s2c2
122,mr-mime,psychic | fairy,1.3,54.5,460,40,45,65,100,120,90,0,0,0,0,2,0,humanoid,pink,45,4,medium,1,humanshape,False,False,False,regular,161,single
123,scyther,bug | flying,1.5,56.0,500,70,110,80,55,80,105,0,1,0,0,0,0,bug-wings,green,45,4,medium,1,bug,False,False,False,regular,100,s1c2
124,jynx,ice | psychic,1.4,40.6,455,65,50,35,115,95,95,0,0,0,2,0,0,humanoid,red,45,8,medium,1,humanshape,False,False,False,regular,159,s2c2
125,electabuzz,electric,1.1,30.0,490,65,83,57,95,85,105,0,0,0,0,0,2,upright,yellow,45,2,medium,1,humanshape,False,False,False,regular,172,s2c3
126,magmar,fire,1.3,44.5,495,65,95,57,100,85,93,0,0,0,2,0,0,upright,red,45,2,medium,1,humanshape,False,False,False,regular,173,s2c3
127,pinsir,bug,1.5,55.0,500,65,125,100,55,70,85,0,2,0,0,0,0,humanoid,brown,45,4,slow,1,bug,False,False,False,regular,175,single
128,tauros,normal,1.4,88.4,490,75,100,95,40,70,110,0,1,0,0,0,1,quadruped,brown,45,0,slow,1,ground,False,False,False,regular,172,single
129,magikarp,water,0.9,10.0,200,20,10,55,15,20,80,0,0,0,0,0,1,fish,red,255,4,slow,1,water2 | dragon,False,False,False,regular,40,s1c2
130,gyarados,water | flying,6.5,235.0,540,95,125,79,60,100,81,0,2,0,0,0,0,squiggle,blue,45,4,slow,1,water2 | dragon,False,False,False,regular,189,s2c2
131,lapras,water | ice,2.5,220.0,535,130,85,80,85,95,60,2,0,0,0,0,0,fish,blue,45,4,slow,1,monster | water1,False,False,False,regular,187,single
132,ditto,normal,0.3,4.0,288,48,48,48,48,48,48,1,0,0,0,0,0,ball,purple,35,-1,medium,1,ditto,False,False,False,regular,101,single
133,eevee,normal,0.3,6.5,325,55,55,50,45,65,55,0,0,0,0,1,0,quadruped,brown,45,1,medium,1,ground,False,False,False,regular,65,s1c2
134,vaporeon,water,1.0,29.0,525,130,65,60,110,95,65,2,0,0,0,0,0,quadruped,blue,45,1,medium,1,ground,False,False,False,regular,184,s2c2
135,jolteon,electric,0.8,24.5,525,65,65,60,110,95,130,0,0,0,0,0,2,quadruped,yellow,45,1,medium,1,ground,False,False,False,regular,184,s2c2
136,flareon,fire,0.9,25.0,525,65,130,60,95,110,65,0,2,0,0,0,0,quadruped,red,45,1,medium,1,ground,False,False,False,regular,184,s2c2
137,porygon,normal,0.8,36.5,395,65,60,70,85,75,40,0,0,0,1,0,0,legs,pink,45,-1,medium,1,mineral,False,False,False,regular,79,s1c3
138,omanyte,rock | water,0.4,7.5,355,35,40,100,90,55,35,0,0,1,0,0,0,tentacles,blue,45,1,medium,1,water1 | water3,False,False,False,regular,71,s1c2
139,omastar,rock | water,1.0,35.0,495,70,60,125,115,70,55,0,0,2,0,0,0,tentacles,blue,45,1,medium,1,water1 | water3,False,False,False,regular,173,s2c2
140,kabuto,rock | water,0.5,11.5,355,30,80,90,55,45,55,0,0,1,0,0,0,armor,brown,45,1,medium,1,water1 | water3,False,False,False,regular,71,s1c2
141,kabutops,rock | water,1.3,40.5,495,60,115,105,65,70,80,0,2,0,0,0,0,upright,brown,45,1,medium,1,water1 | water3,False,False,False,regular,173,s2c2
142,aerodactyl,rock | flying,1.8,59.0,515,80,105,65,60,75,130,0,0,0,0,0,2,wings,purple,45,1,slow,1,flying,False,False,False,regular,180,single
143,snorlax,normal,2.1,460.0,540,160,110,65,65,110,30,2,0,0,0,0,0,humanoid,black,25,1,slow,1,monster,False,False,False,regular,189,s2c2
144,articuno,ice | flying,1.7,55.4,580,90,85,100,95,125,85,0,0,0,0,3,0,wings,blue,3,-1,slow,1,no-eggs,True,False,False,legendary,261,single
145,zapdos,electric | flying,1.6,52.6,580,90,90,85,125,90,100,0,0,0,3,0,0,wings,yellow,3,-1,slow,1,no-eggs,True,False,False,legendary,261,single
146,moltres,fire | flying,2.0,60.0,580,90,100,90,125,85,90,0,0,0,3,0,0,wings,yellow,3,-1,slow,1,no-eggs,True,False,False,legendary,261,single
147,dratini,dragon,1.8,3.3,300,41,64,45,50,50,50,0,1,0,0,0,0,squiggle,blue,45,4,slow,1,water1 | dragon,False,False,False,regular,60,s1c3
148,dragonair,dragon,4.0,16.5,420,61,84,65,70,70,70,0,2,0,0,0,0,squiggle,blue,45,4,slow,1,water1 | dragon,False,False,False,regular,147,s2c3
149,dragonite,dragon | flying,2.2,210.0,600,91,134,95,100,100,80,0,3,0,0,0,0,upright,brown,45,4,slow,1,water1 | dragon,False,False,False,regular,270,s3c3
150,mewtwo,psychic,2.0,122.0,680,106,110,90,154,90,130,0,0,0,3,0,0,upright,purple,3,-1,slow,1,no-eggs,True,False,False,legendary,306,single
151,mew,psychic,0.4,4.0,600,100,100,100,100,100,100,3,0,0,0,0,0,upright,pink,45,-1,medium-slow,1,no-eggs,False,True,False,mythical,270,single
152,chikorita,grass,0.9,6.4,318,45,49,65,49,65,45,0,0,0,0,1,0,quadruped,green,45,1,medium-slow,2,monster | plant,False,False,False,regular,64,s1c3
153,bayleef,grass,1.2,15.8,405,60,62,80,63,80,60,0,0,1,0,1,0,quadruped,green,45,1,medium-slow,2,monster | plant,False,False,False,regular,142,s2c3
154,meganium,grass,1.8,100.5,525,80,82,100,83,100,80,0,0,1,0,2,0,quadruped,green,45,1,medium-slow,2,monster | plant,False,False,False,regular,236,s3c3
155,cyndaquil,fire,0.5,7.9,309,39,52,43,60,50,65,0,0,0,0,0,1,humanoid,yellow,45,1,medium-slow,2,ground,False,False,False,regular,62,s1c3
156,quilava,fire,0.9,19.0,405,58,64,58,80,65,80,0,0,0,1,0,1,quadruped,yellow,45,1,medium-slow,2,ground,False,False,False,regular,142,s2c3
157,typhlosion,fire,1.7,79.5,534,78,84,78,109,85,100,0,0,0,3,0,0,quadruped,yellow,45,1,medium-slow,2,ground,False,False,False,regular,240,s3c3
158,totodile,water,0.6,9.5,314,50,65,64,44,48,43,0,1,0,0,0,0,upright,blue,45,1,medium-slow,2,monster | water1,False,False,False,regular,63,s1c3
159,croconaw,water,1.1,25.0,405,65,80,80,59,63,58,0,1,1,0,0,0,upright,blue,45,1,medium-slow,2,monster | water1,False,False,False,regular,142,s2c3
160,feraligatr,water,2.3,88.8,530,85,105,100,79,83,78,0,2,1,0,0,0,upright,blue,45,1,medium-slow,2,monster | water1,False,False,False,regular,239,s3c3
161,sentret,normal,0.8,6.0,215,35,46,34,35,45,20,0,1,0,0,0,0,quadruped,brown,255,4,medium,2,ground,False,False,False,regular,43,s1c2
162,furret,normal,1.8,32.5,415,85,76,64,45,55,90,0,0,0,0,0,2,quadruped,brown,90,4,medium,2,ground,False,False,False,regular,145,s2c2
163,hoothoot,normal | flying,0.7,21.2,262,60,30,30,36,56,50,1,0,0,0,0,0,wings,brown,255,4,medium,2,flying,False,False,False,regular,52,s1c2
164,noctowl,normal | flying,1.6,40.8,452,100,50,50,86,96,70,2,0,0,0,0,0,wings,brown,90,4,medium,2,flying,False,False,False,regular,158,s2c2
165,ledyba,bug | flying,1.0,10.8,265,40,20,30,40,80,55,0,0,0,0,1,0,wings,red,255,4,fast,2,bug,False,False,False,regular,53,s1c2
166,ledian,bug | flying,1.4,35.6,390,55,35,50,55,110,85,0,0,0,0,2,0,wings,red,90,4,fast,2,bug,False,False,False,regular,137,s2c2
167,spinarak,bug | poison,0.5,8.5,250,40,60,40,40,40,30,0,1,0,0,0,0,armor,green,255,4,fast,2,bug,False,False,False,regular,50,s1c2
